Start,End,Open,High,Low,Close,Volume,Market Cap
2024-11-20,2024-11-21,1.2869816614440384,1.3156409792010606,1.2137500890222346,1.2365575609205555,388836747.466899,3208499245.108014
2024-11-19,2024-11-20,1.363666505232211,1.363666505232211,1.2723497722966903,1.2950105961258236,574303768.3101045,3309885907.487805
2024-11-18,2024-11-19,1.2612171098940588,1.3842435849585368,1.2580888697438775,1.3548288179075731,484467048.5679442,3306518006.8466897
2024-11-17,2024-11-18,1.3255455606136142,1.3278993894773352,1.236443221720733,1.257425959598164,496522573.62020904,3241532545.118467
2024-11-16,2024-11-17,1.2766090023289343,1.3456516446878288,1.2597992802013247,1.3220182646117358,477026324.8606272,3283824725.655052
2024-11-15,2024-11-16,1.2348262993757702,1.296060032811744,1.1930626082953484,1.2864593975747405,560449585.3658537,3136978292.5818815
2024-11-14,2024-11-15,1.2588515377758351,1.363950529866975,1.2194206933219656,1.233182095046534,980477251.9651568,3233442930.303136
2024-11-13,2024-11-14,1.3772009052894914,1.3856674441117505,1.2153573902112333,1.2662556382490788,1119943591.5087109,3271724489.5261326
2024-11-12,2024-11-13,1.5547141470489168,1.6324564082685253,1.362490707278838,1.3888346118681645,1077703645.4006968,3747851216.97561
2024-11-11,2024-11-12,1.448100970971394,1.5943710974087832,1.4406538406525395,1.5808767060761264,823793092.0940766,3808824524.4843206
2024-11-10,2024-11-11,1.450433528220695,1.5626255144044219,1.417775513186874,1.4483669443552623,502148164.184669,3745661965.8675957
2024-11-09,2024-11-10,1.3930078585584935,1.4679588993704424,1.3744594601798357,1.466307550515968,296439296.8815331,3546470024.919861
2024-11-08,2024-11-09,1.4124320808093391,1.4334542242176331,1.3462886282333262,1.3960830526698274,329594650.83972126,3515043171.696864
2024-11-07,2024-11-08,1.4131695720710589,1.447090656048539,1.3719814783880389,1.4072824459253996,449414109.4947735,3543558645.5470386
2024-11-06,2024-11-07,1.2606321938241167,1.4328287961240902,1.257052178650006,1.4157963548387749,590352147.923345,3468660252.076655
2024-11-05,2024-11-06,1.133909647209526,1.2648362695438715,1.1231777854475116,1.2526955181572865,255918102.0209059,3005315891.7003484
2024-11-04,2024-11-05,1.1400620025774528,1.161494122368177,1.0949225763415211,1.1309882220379812,259098919.6759582,2866337906.7038326
2024-11-03,2024-11-04,1.1911270320379754,1.1934598968081145,1.0958538621389764,1.1501227969526322,202567280.39372823,2909280649.3205576
2024-11-02,2024-11-03,1.233242332885933,1.2430814776538415,1.1704362263215817,1.1897445799028328,220430099.51567945,3038422043.512195
2024-11-01,2024-11-02,1.2997790265136584,1.3131025876184537,1.216212891344758,1.231364725734976,394370928.5121951,3186489152.2334495
2024-10-31,2024-11-01,1.301948180360977,1.3276742475905816,1.2491335863709585,1.2956371040503523,299238015.87456447,3253235128.3101044
2024-10-30,2024-10-31,1.3384115586403638,1.3384115586403638,1.2773478715326676,1.2992287006257712,258381486.2195122,3291500979.466899
